CATEGORY,Variance
Category112,311449.86274418386
Category99,138702.06952434426
Category24,128849.43972935864
Category5,125741.46958923427
Category3,112356.18721879958
Category34,72107.97068932187
Category23,65163.49274646923
Category2,63045.05352694575
Category58,62510.905241483844
Category10,56194.167341430526
Category15,53028.170731601465
Category94,48691.86667656556
Category22,47022.61360773587
Category31,41056.44944066932
Category67,40931.83146669445
Category89,40560.86493760176
Category55,40341.26938846538
Category19,36847.76496346585
Category90,35549.62976460159
Category70,27322.007368623123
Category120,21087.476912523176
Category11,20916.20498660218
Category69,19512.99086558561
Category28,19272.387423459615
Category18,19082.53638002222
Category9,17477.432328343457
Category12,15804.351204955141
Category14,14353.335468384492
Category4,13944.345021176012
Category27,11129.025805180734
Category16,7421.085397255804
Category30,6673.276266640541
Category115,6663.948651410777
Category39,6199.780177766162
Category42,6130.411222667431
Category20,5582.550336802303
Category51,3798.5973603860934
Category1,3332.342608124679
Category21,2829.381396214985
Category33,2399.0224872366043
Category45,488.99030793767645
Category6,219.77783819417675
Category35,31.014555844777547
