DEPARTMENT,Variance
Dept35,272994.58050345373
Dept5,167117.06095369672
Dept21,136956.7603976887
Dept34,110919.91817056281
Dept4,106730.0972471455
Dept3,99570.8200789874
Dept24,83530.97846986628
Dept13,77567.62736854132
Dept1,70551.88615141071
Dept8,62171.15839342406
Dept11,51800.33607971244
Dept20,48948.57262052587
Dept44,46227.273658861624
Dept25,41423.47324180916
Dept15,40931.8314666944
Dept10,37919.521927597634
Dept31,37378.57009905833
Dept16,37122.24300658856
Dept19,35953.333086521314
Dept33,32425.474860222334
Dept45,32380.86575396434
Dept42,29936.566151368344
Dept17,27668.759058195126
Dept36,26173.353465832428
Dept38,22469.68592207792
Dept6,20793.43315754711
Dept26,19632.97415901217
Dept29,18962.017234695915
Dept43,17926.509744255723
Dept39,17455.267960610843
Dept41,11852.761646803901
Dept18,11587.830587251156
Dept12,8287.34364856328
Dept37,8072.242071873697
Dept30,7185.684432390037
Dept9,5026.279201804981
Dept32,2073.9736914205223
Dept27,1881.3309366689657
Dept23,917.7081483171
Dept14,642.8072261072258
Dept28,259.66734143049916
Dept40,247.46422985804466
Dept7,99.26285186816689
Dept2,17.441504109925166
