SKU,Variance
SKU446,327439.26709606196
SKU621,307454.418496996
SKU622,278898.09839456313
SKU76,227645.5610164483
SKU53,216941.52355539196
SKU72,191401.86575396435
SKU584,183346.31182901602
SKU1,154287.3583732055
SKU318,150072.59411011531
SKU381,148050.27765192554
SKU213,143185.9529873635
SKU77,141531.91854624252
SKU604,129188.03440068696
SKU610,112689.31832955776
SKU32,110301.41370934364
SKU625,109878.14517876491
SKU84,108602.09374732096
SKU73,102817.1415163783
SKU61,98146.93322170782
SKU18,92024.82587412585
SKU63,82335.15177779966
SKU389,81193.86506451294
SKU9,78937.18234572434
SKU364,77615.67428346303
SKU41,75287.34935487047
SKU274,71459.17522819867
SKU8,69601.06717226437
SKU60,68725.75110804688
SKU637,67892.14005712597
SKU127,67502.94346498571
SKU214,65977.55730585208
SKU410,64184.9325481536
SKU238,61655.45119669066
SKU17,58970.934318018415
SKU78,58696.54870481633
SKU615,58350.68393578251
SKU13,55716.657441150375
SKU88,54695.61252831675
SKU382,53699.57037328867
SKU263,53438.55405471723
SKU130,53176.34393775237
SKU59,53008.74953215797
SKU240,52700.45759873928
SKU534,50740.273515217195
SKU620,49158.18753077906
SKU209,48763.35434915965
SKU4,47917.39414795733
SKU378,47750.60287599724
SKU125,46830.31291243967
SKU379,45147.802127450035
SKU189,44820.3531960997
SKU425,44056.15286122325
SKU661,43263.4082537181
SKU426,42912.70885452576
SKU79,41396.50083719097
SKU372,40652.316753668856
SKU22,40445.73928888013
SKU602,40391.96730030533
SKU228,38076.78146239722
SKU712,37999.37062937063
SKU440,37522.627400768244
SKU480,37503.119570570285
SKU633,35817.497389934004
SKU636,34919.47168324632
SKU601,34918.77031419284
SKU756,34666.96217866641
SKU642,34338.24386880726
SKU252,33878.19866049443
SKU14,33843.29158385472
SKU606,32799.77060967201
SKU759,32380.86575396434
SKU371,31314.963656062246
SKU16,31295.445393923088
SKU212,30951.412882891746
SKU57,30595.2232837585
SKU10,29563.52811976757
SKU135,29316.614464482882
SKU390,29060.77612528317
SKU233,28496.772284053975
SKU326,27951.515114709877
SKU385,27886.76637447059
SKU589,27842.896483797897
SKU391,27411.89067270756
SKU249,25905.355756919147
SKU219,25850.743712427913
SKU709,25287.198660494447
SKU666,24188.811779769523
SKU3,23769.733971291866
SKU126,23548.281000689454
SKU80,23301.566630552552
SKU285,23268.30437008475
SKU470,22527.48975012528
SKU588,22316.680390032507
SKU202,21028.687777011728
SKU445,20760.407761252838
SKU69,20379.378213335964
SKU312,20344.281493154736
SKU738,19778.29774450903
SKU667,19771.519353885546
SKU75,19469.862799172653
SKU518,19159.774056928985
SKU302,19044.95597360386
SKU155,18394.759340348115
SKU94,18270.59580419581
